wind_code,name,family,category,is_active,priority,is_concept,view_key,view_label,notes
884001.WI,参股金融指数,wind_concept,Wind热门概念指数,false,30000,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884025.WI,成渝特区指数,wind_concept,Wind热门概念指数,false,29999,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884028.WI,智能电网指数,wind_concept,Wind热门概念指数,true,40000,true,wind_hot_concept,Wind热门概念,
884030.WI,物联网指数,wind_concept,Wind热门概念指数,true,39999,true,wind_hot_concept,Wind热门概念,
884031.WI,重组指数,wind_concept,Wind热门概念指数,true,39998,true,wind_hot_concept,Wind热门概念,
884032.WI,迪士尼指数,wind_concept,Wind热门概念指数,false,29995,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884034.WI,节能环保指数,wind_concept,Wind热门概念指数,true,39997,true,wind_hot_concept,Wind热门概念,
884035.WI,新能源指数,wind_concept,Wind热门概念指数,true,39996,true,wind_hot_concept,Wind热门概念,
884036.WI,风力发电指数,wind_concept,Wind热门概念指数,true,39995,true,wind_hot_concept,Wind热门概念,
884037.WI,乙醇汽油指数,wind_concept,Wind热门概念指数,false,29991,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884039.WI,锂电池指数,wind_concept,Wind热门概念指数,true,39994,true,wind_hot_concept,Wind热门概念,
884040.WI,垃圾发电指数,wind_concept,Wind热门概念指数,false,29989,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884041.WI,节能照明指数,wind_concept,Wind热门概念指数,false,29988,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884043.WI,CDM指数,wind_concept,Wind热门概念指数,false,29987,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884045.WI,光伏指数,wind_concept,Wind热门概念指数,true,39993,true,wind_hot_concept,Wind热门概念,
884046.WI,核电指数,wind_concept,Wind热门概念指数,true,39992,true,wind_hot_concept,Wind热门概念,
884047.WI,长吉图指数,wind_concept,Wind热门概念指数,false,29984,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884048.WI,港珠澳大桥指数,wind_concept,Wind热门概念指数,false,29983,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884050.WI,海南自贸港指数,wind_concept,Wind热门概念指数,true,39991,true,wind_hot_concept,Wind热门概念,
884052.WI,新型煤化工指数,wind_concept,Wind热门概念指数,false,29981,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884053.WI,外资并购指数,wind_concept,Wind热门概念指数,false,29980,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884057.WI,新材料指数,wind_concept,Wind热门概念指数,true,39990,true,wind_hot_concept,Wind热门概念,
884058.WI,鄱阳湖指数,wind_concept,Wind热门概念指数,false,29978,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884059.WI,央企大盘指数,wind_concept,Wind热门概念指数,false,29977,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884061.WI,光通信指数,wind_concept,Wind热门概念指数,true,39989,true,wind_hot_concept,Wind热门概念,
884062.WI,生物育种指数,wind_concept,Wind热门概念指数,true,39988,true,wind_hot_concept,Wind热门概念,
884068.WI,核高基指数,wind_concept,Wind热门概念指数,false,29974,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884069.WI,移动支付指数,wind_concept,Wind热门概念指数,false,29973,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884073.WI,保障性住房指数,wind_concept,Wind热门概念指数,false,29972,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884074.WI,新疆振兴指数,wind_concept,Wind热门概念指数,true,39987,true,wind_hot_concept,Wind热门概念,
884075.WI,高铁指数,wind_concept,Wind热门概念指数,true,39986,true,wind_hot_concept,Wind热门概念,
884076.WI,新能源汽车指数,wind_concept,Wind热门概念指数,true,39985,true,wind_hot_concept,Wind热门概念,
884077.WI,三网融合指数,wind_concept,Wind热门概念指数,false,29968,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884079.WI,建筑节能指数,wind_concept,Wind热门概念指数,false,29967,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884080.WI,网络游戏指数,wind_concept,Wind热门概念指数,true,39984,true,wind_hot_concept,Wind热门概念,
884081.WI,上海本地重组指数,wind_concept,Wind热门概念指数,false,29965,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884083.WI,深圳前海新区指数,wind_concept,Wind热门概念指数,false,29964,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884086.WI,稀土永磁指数,wind_concept,Wind热门概念指数,true,39983,true,wind_hot_concept,Wind热门概念,
884087.WI,卫星导航指数,wind_concept,Wind热门概念指数,true,39982,true,wind_hot_concept,Wind热门概念,
884088.WI,通用航空指数,wind_concept,Wind热门概念指数,true,39981,true,wind_hot_concept,Wind热门概念,
884089.WI,装饰园林指数,wind_concept,Wind热门概念指数,false,29960,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884090.WI,合同能源管理指数,wind_concept,Wind热门概念指数,false,29959,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884091.WI,云计算指数,wind_concept,Wind热门概念指数,true,39980,true,wind_hot_concept,Wind热门概念,
884092.WI,高端装备制造指数,wind_concept,Wind热门概念指数,true,39979,true,wind_hot_concept,Wind热门概念,
884093.WI,智能交通指数,wind_concept,Wind热门概念指数,true,39978,true,wind_hot_concept,Wind热门概念,
884095.WI,触摸屏指数,wind_concept,Wind热门概念指数,false,29955,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884096.WI,水利水电建设指数,wind_concept,Wind热门概念指数,true,39977,true,wind_hot_concept,Wind热门概念,
884097.WI,钢结构指数,wind_concept,Wind热门概念指数,false,29953,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884098.WI,IPV6指数,wind_concept,Wind热门概念指数,false,29952,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884099.WI,移动互联网指数,wind_concept,Wind热门概念指数,false,29951,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884100.WI,科技园区指数,wind_concept,Wind热门概念指数,false,29950,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884101.WI,抗癌指数,wind_concept,Wind热门概念指数,false,29949,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884102.WI,抗核辐射指数,wind_concept,Wind热门概念指数,false,29948,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884103.WI,页岩气指数,wind_concept,Wind热门概念指数,false,29947,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884104.WI,航母指数,wind_concept,Wind热门概念指数,true,39967,true,wind_hot_concept,Wind热门概念,
884105.WI,舟山新区指数,wind_concept,Wind热门概念指数,false,29945,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884106.WI,浦东新区指数,wind_concept,Wind热门概念指数,false,29944,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884107.WI,黄金珠宝指数,wind_concept,Wind热门概念指数,true,39955,true,wind_hot_concept,Wind热门概念,
884108.WI,涉矿指数,wind_concept,Wind热门概念指数,false,29942,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884109.WI,石墨烯指数,wind_concept,Wind热门概念指数,false,29941,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
884110.WI,安防监控指数,wind_concept,Wind热门概念指数,false,29940,true,wind_hot_concept,Wind热门概念,不在Wind导出有效热门概念清单中
